0.00E+00,6.20E+00,4.00E-01,1.65E+02,1.58E+02,1.60E+01
0.00E+00,6.20E+00,1.20E+00,1.20E+02,1.20E+02,1.60E+01
0.00E+00,6.37E+00,1.20E+00,1.15E+01,2.00E+01,2.90E+01
0.00E+00,7.00E+00,2.00E+00,6.00E+01,6.00E+01,1.81E+01
0.00E+00,1.00E+01,1.00E+00,1.50E+02,0.00E+00,1.80E+01
0.00E+00,1.25E+01,3.00E+00,1.80E+02,1.94E+02,1.80E+01
0.00E+00,1.25E+01,3.00E+00,3.00E+02,3.24E+02,1.80E+01
0.00E+00,1.50E+01,2.50E+00,2.40E+02,3.74E+02,2.60E+01
0.00E+00,1.60E+01,2.50E+00,1.20E+02,1.72E+02,2.39E+01
0.00E+00,1.90E+01,5.00E+00,1.50E+02,1.80E+02,2.00E+01
0.00E+00,1.90E+01,5.00E+00,3.60E+02,4.32E+02,2.00E+01
0.00E+00,2.49E+01,5.00E+00,4.00E+01,5.50E+01,2.40E+01
0.00E+00,2.50E+01,4.00E+00,4.80E+02,6.00E+02,2.08E+01
0.00E+00,2.50E+01,1.00E+01,2.12E+02,3.00E+02,2.36E+01
0.00E+00,2.50E+01,5.00E+00,2.00E+01,3.00E+01,2.50E+01
0.00E+00,2.50E+01,5.00E+00,1.50E+02,2.50E+02,2.78E+01
0.00E+00,2.50E+01,5.00E+00,6.55E+01,1.10E+02,2.80E+01
0.00E+00,2.50E+01,2.50E+00,1.80E+02,2.40E+02,2.22E+01
0.00E+00,2.50E+01,3.50E+00,2.40E+02,3.20E+02,2.22E+01
0.00E+00,2.80E+01,8.00E+00,4.17E+01,5.00E+01,2.00E+01
0.00E+00,3.00E+01,1.00E+01,2.40E+02,3.80E+02,2.64E+01
0.00E+00,3.10E+01,4.00E+00,3.30E+02,4.36E+02,2.20E+01
0.00E+00,3.30E+01,5.00E+00,1.20E+02,1.44E+02,2.00E+01
0.00E+00,3.50E+01,9.30E+00,3.00E+02,5.04E+02,2.80E+01
0.00E+00,3.60E+01,5.00E+00,4.80E+02,7.56E+02,2.62E+01
0.00E+00,4.00E+01,6.00E+00,3.60E+02,8.64E+02,4.00E+01
0.00E+00,4.54E+01,1.00E+01,3.60E+02,5.00E+02,2.31E+01
